ID,log2FC
RL10A,0.811795199
RT14,-1.084516572
RL37A,1.257131872
RS3,0.588502735
RS7,1.128332944
RL5,0.920232783
GBRL2,1.02561708
ATG12,-1.710292875
PI3R4,-1.073425389
CHM1A,1.035831512
CHMP3,1.668881201
CHMP5,1.715616922
VP33A,-1.250896737
SNP29,2.082272917
VPS4B,1.056630358
TERA,1.73523704
SNP29,2.102800762
GBRAP,1.376682577
MLP3C,4.325853528
VPS16,-0.790707931
UBQL1,0.883906805
VAMP8,1.097388777
