"PSC.0228"	"PSC.0187"	"PSC.0188"	"PSC.0174"	"PSC.0190"	"PSC.0231"	"PSC.0230"	"PSC.0219"	"PSC.0177"	"PSC.0186"	"PSC.0209"	"PSC.0203"
"g4560.t1"	0	8	0	0	0	0	0	4	0	0	0	0
"g5141.t1"	0	0	0	0	0	12	9	12	1	4	0	12
"g19990.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g3048.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g2908.t1"	1	11	0	0	0	0	0	0	2	0	0	1
"g13615.t1"	88	57	126	24	28	0	26	8	124	686	0	161
"g19200.t1"	0	0	13	9	0	4	41	16	18	22	2	31
"g22640.t1"	2086	5189	1714	1118	1064	1659	356	309	474	382	342	785
"g19632.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g12214.t1"	997	3806	326	19	89	161	42	145	62	64	0	206
"g13001.t2"	4543	1651	3855	579	4216	7439	1019	28	1214	499	1529	60
"g16073.t1"	344	296	500	3129	303	133	682	1856	693	739	438	1138
"g1588.t1"	25	43	112	52	0	39	61	125	149	24	26	74
"g18998.t1"	4	7	0	14	4	0	21	35	12	15	0	25
"g19736.t1"	24	18	15	16	0	10	41	22	8	5	0	33
"g20250.t1"	24	40	10	0	0	14	0	13	5	4	0	6
"g7117.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g17119.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g14695.t1"	888	908	1122	234	447	1288	1948	1186	854	1481	1064	918
"g3320.t1"	166	158	111	125	49	71	344	394	251	328	421	213
"g15691.t2"	0	0	53	0	0	95	0	0	0	0	0	0
"g15691.t1"	85	162	5	32	14	28	87	60	37	65	0	92
"g18957.t1"	102	131	128	141	26	22	52	108	57	66	30	124
"g15001.t1"	161	382	2181	0	0	1256	0	304	476	24	89	60
"g18264.t1"	49	35	36	3	0	67	129	64	70	88	44	101
"g10524.t1"	13687	6310	7432	4427	14029	10494	3929	3177	2580	2590	4508	2029
"g17156.t1"	28	48	27	16	8	55	88	48	75	47	32	56
"g1421.t1"	546	392	291	558	550	219	412	199	438	284	219	147
"g11446.t1"	785	926	935	238	259	824	1099	894	531	786	702	652
"g7630.t1"	9	16	105	0	0	131	0	0	10	0	0	25
"g19509.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g8037.t1"	19	8	0	40	0	4	0	0	3	0	30	0
"g11354.t1"	13	4	44	0	0	75	0	0	4	0	0	6
"g1423.t1"	1038	409	480	453	257	369	310	314	243	308	313	229
"g16599.t1"	45	61	20	0	0	0	18	12	4	0	0	10
"g22957.t1"	23	2	3	18	0	9	18	3	2	41	8	12
"g12880.t1"	72	15	19	0	0	18	79	35	8	20	0	33
"g19448.t1"	0	4	3	0	15	4	0	0	0	0	0	0
"g23374.t1"	35	50	39	0	0	29	129	78	59	53	88	35
"g3287.t1"	823	742	698	1857	787	627	653	578	656	512	609	752
"g11356.t1"	617	843	501	257	192	293	810	633	706	978	520	674
"g17330.t1"	725	346	476	477	242	306	790	499	540	432	413	455
"g23889.t1"	22780	13195	23358	31824	25349	18285	14242	10756	10140	6044	13847	8317
"g12216.t1"	112	77	163	163	134	56	297	245	116	270	239	221
"g7442.t2"	0	0	0	0	83	104	0	0	0	0	0	0
"g7442.t1"	0	0	0	0	39	10	0	0	0	0	0	0
"g19496.t1"	152	441	548	68	33	446	93	66	26	58	0	48
"g10949.t1"	13758	18621	10491	13576	12624	13784	12535	9115	9956	12450	12444	11040
"g19496.t2"	0	410	0	0	0	0	0	0	0	0	0	0
"g19871.t1"	51	114	70	18	0	10	108	31	91	95	42	112
"g6555.t1"	0	0	0	8	6	0	0	4	0	0	0	0
"g9240.t1"	10	15	19	0	0	0	0	0	0	0	0	3
"g20670.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g1529.t1"	0	0	0	0	0	0	0	32	0	0	8	0
"g23777.t1"	7	5	5	0	0	0	4	9	0	7	24	14
"g17332.t1"	0	0	1108	0	1214	1101	0	0	751	0	1046	0
"g17332.t2"	1243	949	0	1138	0	0	1405	828	0	1068	0	1158
"g14881.t1"	383	158	326	1293	359	267	224	212	87	77	0	179
"g14881.t2"	280	135	140	932	707	349	161	329	175	114	111	176
"g16408.t1"	64	63	201	41	66	44	261	219	162	280	464	105
"g889.t1"	17	58	29	42	0	22	35	0	13	9	12	10
"g8366.t1"	40	16	10	43	42	25	15	7	2	0	0	5
"g15019.t1"	10196	12567	7140	7157	7422	10044	7724	5745	5931	7445	12223	7595
"g8314.t1"	2	0	0	0	0	0	2	1	0	0	0	0
"g1345.t1"	50	106	104	57	29	112	114	102	92	86	51	59
"g15003.t1"	332	195	188	510	76	135	809	376	253	548	475	268
"g18894.t1"	0	0	0	0	0	0	0	0	0	2	0	3
"g6185.t1"	18	11	21	29	24	21	32	10	38	38	0	9
"g20098.t1"	54	48	33	63	0	32	108	65	84	100	72	37
"g10297.t1"	72	45	18	0	0	0	16	0	0	0	0	0
"g479.t2"	0	0	119	0	0	185	0	0	55	0	0	0
"g479.t3"	0	168	194	1	0	468	0	72	48	0	0	0
"g479.t1"	70	298	197	0	0	475	0	110	70	0	0	0
"g4368.t1"	515	288	338	909	476	349	356	227	480	268	201	158
"g479.t4"	124	519	99	11	0	345	15	47	28	11	61	0
"g2840.t1"	94	29	67	20	29	52	67	48	46	114	26	52
"g17584.t1"	8	35	9	3	3	0	8	7	0	4	11	14
"g9419.t1"	37	131	15	5	21	21	42	40	10	0	0	16
"g1347.t1"	45	15	33	28	0	28	56	39	39	28	0	24
"g21070.t1"	12	6	14	3	6	0	7	5	2	0	5	1
"g9919.t1"	2061	1920	1765	3409	1884	1492	1441	895	1586	909	731	986
"g15724.t1"	0	11	0	0	0	0	0	3	0	11	0	0
"g12882.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g16203.t1"	100	46	85	156	29	53	254	227	247	255	257	158
"g17846.t1"	394	356	350	427	205	150	305	223	317	362	383	215
"g8624.t1"	73	243	58	0	16	43	54	21	5	16	22	0
"g17674.t1"	148	369	117	37	25	59	135	57	50	90	21	78
"g20002.t1"	23	30	6	0	0	0	4	0	0	0	0	32
"g14239.t1"	202	194	252	87	297	203	820	138	154	496	0	0
"g14239.t3"	1790	1308	1813	1324	2018	1959	3630	2142	1132	2374	1656	1901
"g14239.t2"	60	116	16	19	21	7	13	5	0	0	0	0
"g22123.t1"	8	7	13	0	3	0	0	0	0	3	16	0
"g7152.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g20027.t1"	12	21	11	0	0	10	8	0	0	3	0	10
"g3529.t1"	7	12	13	29	3	9	39	45	24	20	23	41
"g10136.t1"	36	69	50	6	0	41	33	17	33	32	0	6
"g18504.t1"	7	9	0	4	0	0	0	8	0	0	0	12
"g9242.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g19494.t1"	3	0	0	0	0	0	0	0	0	0	0	0
"g15274.t1"	75	119	102	12	32	92	222	152	84	113	364	97
"g20025.t1"	104	76	93	7	4	55	4	0	3	0	0	22
"g23302.t1"	35	117	505	0	14	592	10	0	81	4	0	0
"g11967.t1"	138	154	207	68	49	103	329	311	304	326	120	185
"g6036.t1"	376	211	270	1725	568	202	1415	872	787	848	0	445
"g6036.t2"	0	68	6	0	0	27	0	0	0	0	0	0
"g6036.t3"	584	309	481	1646	543	360	1688	1301	1054	1166	994	798
"g6036.t4"	0	30	0	0	0	16	0	0	0	0	16	0
"g6036.t5"	322	247	209	0	659	269	0	23	0	0	0	0
"g22253.t1"	6	15	10	0	0	0	9	0	0	0	0	0
"g20953.t1"	1779	858	967	978	673	544	890	800	936	639	726	579
"g172.t1"	68	69	46	46	31	63	112	75	79	84	133	73
"g7755.t1"	4817	3945	3439	2435	2632	2287	1458	1039	860	801	476	1143
"g14258.t1"	13	2	0	0	3	0	0	6	0	0	0	0
"g14258.t2"	0	0	0	0	0	0	0	0	0	0	0	0
"g23424.t1"	91	291	221	87	47	58	163	133	54	127	152	66
"g10217.t1"	34	42	21	47	0	23	108	50	41	39	46	28
"g11965.t1"	4868	3134	3699	7049	5221	4104	6718	5756	6597	4480	5019	4470
"g1663.t1"	8	67	38	21	0	9	41	3	0	9	41	0
"g15693.t1"	9	3	13	0	0	47	0	0	0	0	0	0
"g22023.t1"	652	1251	486	0	54	143	219	1357	326	249	9	46
"g14385.t1"	7962	4870	4678	5090	5748	6201	6015	2643	2526	4030	2234	3310
"g22251.t1"	7	8	0	0	0	5	0	0	0	6	0	0
"g4751.t1"	163	257	160	124	81	96	391	270	257	286	304	212
"g6034.t1"	5	79	11	41	41	59	209	205	131	178	89	126
"g10526.t1"	35	33	70	36	14	25	191	133	75	203	0	109
"g11857.t1"	1227	808	1675	1554	827	993	1450	914	807	506	737	1165
"g4283.t1"	265	316	279	202	57	113	696	742	469	383	642	220
"g17676.t1"	115	109	99	172	35	75	195	135	199	157	261	187
"g7914.t1"	4	0	3	2	1	0	10	11	10	11	48	8
"g9594.t1"	0	21	34	0	0	7	13	25	15	30	0	19
"g10189.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g5580.t1"	0	16	12	0	7	0	0	0	26	0	0	56
"g2928.t1"	374	357	265	637	174	230	680	558	684	452	348	513
"g14387.t1"	0	6	24	0	0	60	0	0	21	0	0	0
"g18486.t1"	0	0	0	0	0	2	0	0	0	0	0	5
"g4281.t1"	67	18	8	79	0	31	81	47	50	39	57	45
"g2756.t1"	0	0	2	0	0	0	0	0	0	0	0	0
"g22156.t1"	93	241	82	3	3	57	87	25	18	7	0	77
"g21275.t1"	110	181	204	300	96	41	240	188	182	149	197	177
"g1757.t1"	3	0	0	0	0	0	0	2	0	0	0	0
"g23499.t1"	1014	855	1295	1461	1334	687	6281	3652	2820	2930	3576	2815
"g21277.t1"	358	190	177	117	193	182	223	135	171	235	112	281
"g9200.t1"	154	51	45	27	80	302	40	9	8	0	0	21
"g14010.t1"	99	78	51	91	45	16	244	87	111	170	131	133
"g16448.t1"	558	809	681	823	537	106	8589	5896	4659	6627	5084	3049
"g7232.t1"	0	0	5	0	14	0	25	0	0	0	0	0
"g12122.t1"	2	1	0	0	0	0	1	1	0	0	0	0
"g10215.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g21115.t1"	235	131	112	88	48	115	277	173	132	265	99	163
"g4753.t1"	24	7	0	3	0	0	29	0	0	0	0	3
"g20439.t1"	3	12	4	0	0	0	4	0	0	0	0	0
"g17427.t1"	1146	1813	1212	525	612	1155	1992	1005	496	1351	620	1534
"g7986.t1"	525	145	94	178	233	12	51	0	16	32	0	19
"g7277.t1"	3	0	0	0	1	0	0	1	8	2	0	10
"g39.t1"	61	7	5	12	10	4	16	6	29	0	1	37
"g11742.t1"	1	7	0	2	3	1	8	5	10	14	0	4
"g17111.t1"	93	100	125	24	13	25	144	92	45	109	0	68
"g12299.t1"	304	767	328	14	11	236	266	203	65	89	25	211
"g10522.t1"	31	2	0	0	8	0	0	0	1	0	0	0
"g17844.t1"	8318	3721	4447	7789	7669	6861	1425	1422	4113	1032	3232	1275
"g17809.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g18047.t1"	0	0	0	0	14	0	0	0	0	30	0	0
"g19801.t1"	8	34	0	0	64	3	0	5	5	7	507	2
"g22040.t1"	629	729	645	803	327	227	540	371	609	449	213	404
"g17113.t1"	0	14	15	0	0	4	34	35	26	62	0	0
"g19801.t2"	305	388	326	287	0	197	973	657	584	560	11	491
"g11740.t1"	89	115	156	47	20	53	444	310	227	429	237	296
"g22188.t1"	1357	777	951	1204	826	384	1420	975	843	756	1276	1278
"g7078.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g14777.t1"	5	31	532	0	0	1312	0	7	128	0	81	106
"g14777.t2"	0	0	273	0	0	130	0	0	24	0	0	9
"g16089.t1"	50	105	120	13	10	96	197	73	49	107	30	206
"g21644.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g8998.t1"	72	113	62	31	47	26	137	32	45	126	164	48
"g18989.t1"	0	0	0	0	0	4	0	0	0	0	0	0
"g4882.t1"	24	21	19	4	17	12	78	36	38	70	52	74
"g12888.t1"	8	15	8	0	0	0	8	0	1	2	0	0
"g15127.t1"	18	11	6	8	71	12	20	15	7	5	43	30
"g19055.t1"	230	232	156	193	108	145	217	235	386	169	147	131
"g17054.t1"	0	8	0	0	0	0	17	7	13	0	28	0
"g11369.t1"	31	199	15	10	4	28	7	14	2	2	1	6
"g23808.t1"	10	10	0	0	0	8	23	12	0	24	0	49
"g783.t1"	98	23	109	24	134	81	61	50	59	41	17	67
"g7757.t1"	25	3	12	11	4	21	59	54	135	67	26	20
"g10736.t1"	260	431	297	141	129	198	308	219	177	201	23	257
"g6608.t1"	68	87	88	23	9	14	55	0	9	16	0	80
"g833.t1"	394	338	223	868	191	218	570	285	586	309	462	287
"g3504.t1"	98	89	117	49	18	94	203	84	97	144	60	192
"g18781.t1"	0	0	0	0	0	0	3	0	0	0	0	0
"g13668.t1"	17686	8757	6072	36896	29104	6502	1855	2895	1819	1115	1364	1105
"g1661.t1"	20	0	0	0	0	0	0	0	0	0	0	0
"g7325.t1"	0	5	0	3	3	0	36	5	21	0	0	20
"g1546.t3"	193	117	10	123	0	294	226	240	273	282	0	272
"g1546.t2"	7	435	420	0	86	99	108	0	0	0	0	159
"g1546.t1"	74	0	0	4	2	0	19	14	20	10	233	0
"g8672.t1"	0	0	0	0	2	0	0	0	0	0	0	0
"g8018.t1"	675	1113	699	616	323	749	1154	669	601	1010	841	661
"g17925.t1"	14	57	46	0	0	118	3	28	29	0	0	17
"g22266.t1"	9410	3878	10566	6053	16034	16510	50184	49455	57622	31792	38203	30786
"g19862.t1"	29	57	10	0	0	0	16	4	3	8	0	0
"g14744.t1"	203	141	262	197	187	140	305	247	179	211	176	179
"g4360.t1"	1425	907	828	1142	1192	937	545	399	473	466	541	364
"g14804.t1"	0	0	0	0	0	0	0	4	0	0	0	0
"g22264.t1"	948	1568	675	232	483	925	810	580	287	771	491	460
"g21646.t1"	668	534	914	1793	578	858	2118	2115	1632	1707	1183	1525
"g9998.t1"	25	5	5	4	0	0	13	0	1	15	23	0
"g429.t1"	11359	1960	1472	4261	9339	13936	1424	574	1634	739	1141	1468
"g14007.t1"	3771	5862	4672	1153	1449	2740	11137	7855	5735	8528	3040	5319
"g4362.t1"	24	51	32	28	0	48	244	219	145	189	100	158
"g17472.t1"	0	9	4	0	4	0	13	29	9	19	11	15
"g1755.t1"	40966	9757	12565	5390	28904	27549	301	129	987	127	202	586
"g1718.t1"	893	1017	380	48	33	471	961	768	383	651	454	695
"g466.t1"	10	70	42	4	5	63	46	19	18	0	0	40
"g3152.t1"	3337	1919	2939	2514	2983	3261	7865	10198	6148	9054	14130	8014
"g1813.t2"	887	1317	2772	346	267	1795	1633	1094	613	689	1058	1214
"g1813.t1"	183	570	893	63	13	949	243	105	121	270	0	248
"g16079.t1"	18	37	23	5	10	49	58	40	46	39	0	13
"g18783.t1"	232	290	223	107	96	308	1155	377	267	524	408	651
"g23261.t1"	0	70	11	0	0	3	0	9	4	0	0	0
"g9975.t1"	6	23	12	0	0	0	0	0	6	0	0	8
"g1582.t1"	124	137	124	83	40	77	362	175	276	301	395	228
"g9832.t1"	9927	6901	7341	11541	7581	7693	9418	10672	10962	8117	7670	7215
"g13837.t1"	9	0	0	6	0	3	15	3	0	5	0	29
"g4255.t1"	12	0	0	5	0	0	0	0	0	0	0	0
"g12032.t1"	114	455	3277	8	53	1734	565	185	359	151	135	122
"g23263.t1"	0	26	15	23	0	7	12	14	0	5	10	7
"g14150.t1"	86	65	0	24	15	135	25	0	0	15	0	14
"g7486.t1"	0	0	3	0	0	19	0	0	0	0	0	0
"g11931.t1"	10	2	0	0	0	0	0	8	0	0	0	0
"g13372.t1"	10	15	44	19	14	0	21	6	13	10	0	34
"g22124.t1"	87	99	252	117	5	74	341	307	322	203	82	68
"g13835.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g12017.t1"	2238	24753	96413	154	811	110037	110	1338	5929	863	4671	2138
"g18137.t1"	88	123	83	106	52	88	265	197	229	190	321	155
"g11994.t1"	96	210	237	4	12	418	0	0	1	0	4	21
"g17766.t1"	0	0	0	0	0	0	0	10	0	0	0	0
"g12015.t1"	545	7987	27911	43	225	47677	45	319	1842	248	1016	1161
"g5550.t1"	233	748	371	51	115	138	86	211	38	76	396	166
"g6149.t1"	840	588	299	760	824	893	340	430	370	511	294	512
"g19578.t1"	0	3	0	0	0	0	4	0	0	2	0	0
"g18045.t1"	63	56	63	87	22	44	211	161	144	126	62	107
"g23005.t1"	42	91	49	47	38	55	122	110	93	138	146	161
"g17470.t1"	0	24	28	6	6	8	62	136	69	115	102	65
"g11383.t1"	10	26	2	16	0	5	39	31	23	21	56	26
"g3281.t1"	886	1031	1104	346	110	309	654	382	262	412	200	482
"g20899.t1"	42	52	50	68	22	105	312	357	77	268	269	172
"g5552.t1"	0	0	24	0	0	6	9	4	0	4	18	0
"g12662.t1"	152	87	7	0	6	20	46	100	0	24	215	20
"g3954.t1"	80	527	1327	0	10	1386	41	49	29	0	0	28
"g14005.t1"	660	316	565	454	490	399	1143	1156	1369	1088	540	681
"g3549.t1"	97	29	50	55	84	61	150	112	87	57	123	151
"g6839.t1"	426	472	509	400	251	384	1267	706	380	791	400	566
"g21919.t1"	2	0	0	0	0	0	2	0	0	0	0	0
"g6823.t1"	53	108	140	57	36	81	559	273	327	352	250	335
"g5571.t1"	0	2	2	0	0	0	17	0	0	13	0	2
"g14152.t1"	0	0	0	0	0	8	3	0	0	6	0	0
"g13481.t1"	10	0	26	0	0	11	9	12	13	0	37	9
"g16621.t1"	0	7	0	0	0	0	0	0	0	0	0	0
"g3506.t1"	129	76	308	647	398	10	5911	3988	3373	4361	6191	2815
"g16597.t1"	43	43	73	84	11	35	142	109	152	101	222	56
"g16623.t1"	5020	9104	4472	2484	2765	5688	3459	1974	1518	2028	5224	1746
"g17495.t1"	3	0	0	0	0	11	0	0	21	0	0	0
"g17764.t1"	3	6	4	1	10	0	0	4	2	0	0	6
"g16429.t1"	130	249	127	45	12	112	349	198	101	386	117	124
"g3343.t1"	108	139	68	92	17	48	237	126	119	212	91	182
"g14725.t1"	15211	11502	10198	18874	15462	12319	5536	4565	7237	4920	6759	4347
"g8349.t1"	0	0	0	0	0	12	0	0	0	0	0	0
"g20499.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g17399.t1"	45	30	72	11	0	19	218	117	72	105	55	54
"g4037.t1"	8	26	11	7	0	16	41	40	17	36	52	36
"g1032.t1"	39	10	2	1	0	34	1	4	2	18	0	2
"g20008.t1"	0	0	12	0	0	0	0	5	4	32	0	0
"g4320.t1"	0	0	0	4	0	0	0	0	0	0	0	1
"g22748.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g4457.t1"	25	42	57	33	5	42	236	225	174	213	139	103
"g5665.t1"	0	0	0	3	0	0	0	0	0	0	0	0
"g5628.t1"	2194	1204	903	553	804	818	482	227	826	203	858	418
"g55.t1"	6	14	3	32	6	1	7	5	1	25	0	5
"g19425.t1"	6	7	11	7	3	5	12	11	6	11	13	4
"g17701.t1"	0	0	0	0	0	0	0	0	0	0	0	29
"g1100.t1"	256	258	310	338	132	233	211	196	281	234	174	184
"g12565.t1"	1	13	17	1	4	6	105	34	45	40	0	41
"g7223.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g16595.t1"	0	0	3	0	0	0	17	38	5	0	0	12
"g2939.t1"	639	610	493	348	329	367	666	458	412	554	287	533
"g2288.t1"	225	401	283	318	166	146	520	372	303	502	399	357
"g15236.t1"	40	49	45	13	10	26	195	189	99	265	49	168
"g2537.t1"	76	86	159	111	55	72	308	436	352	695	482	182
"g3922.t1"	264	258	294	404	78	128	605	378	522	401	397	485
"g17878.t1"	4	19	0	0	0	0	0	0	82	0	0	2
"g12995.t1"	85	67	74	190	66	151	361	202	116	539	256	144
"g12812.t1"	833	851	748	712	704	787	1298	1035	804	1037	924	807
"g2796.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g19702.t1"	151	33	62	16	7	4	283	69	93	34	37	304
"g15658.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g2075.t1"	1562	1012	881	806	654	644	860	538	544	758	432	721
"g4786.t1"	6	0	0	0	4	0	0	0	0	0	0	0
"g2535.t1"	4	0	0	0	3	0	0	0	0	5	0	10
"g15574.t2"	242	853	286	168	56	263	400	224	124	141	131	194
"g15574.t1"	159	59	0	9	0	14	0	0	0	5	3	0
"g19408.t1"	32	18	13	3	0	7	3	0	0	0	1	28
"g19700.t1"	5173	1884	2538	3399	4429	2805	716	378	561	395	413	490
"g2133.t1"	597	401	563	230	241	566	372	471	319	338	304	310
"g2804.t1"	31	35	51	25	6	18	239	109	138	327	223	213
"g9785.t1"	294	107	137	41	50	97	372	99	46	235	0	148
"g2754.t1"	88	23	64	23	148	83	53	36	33	25	11	49
"g4128.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g17792.t1"	172	140	184	59	65	126	223	94	67	109	86	121
"g6279.t1"	759	761	488	510	781	614	488	363	774	382	235	350
"g8785.t1"	72	173	88	0	4	202	60	9	19	0	0	71
"g5862.t1"	264	219	214	289	96	76	598	420	415	571	462	636
"g16463.t1"	0	16	0	0	0	5	26	0	0	26	0	0
"g23638.t1"	12	0	0	7	0	0	0	0	4	5	0	31
"g421.t1"	200	15	59	30	104	284	51	23	70	53	35	221
"g15234.t1"	2091	970	1326	393	935	1195	2988	1186	1582	2738	1704	1784
"g20132.t1"	0	0	12	0	0	0	0	0	0	0	0	0
"g2361.t1"	10896	13595	7561	4193	7541	7624	2037	1479	4770	2009	3066	2845
"g2361.t2"	3758	3525	3103	1800	2267	2486	822	330	1228	630	236	1104
"g3340.t1"	247	81	115	264	119	110	127	80	80	114	83	83
"g4197.t1"	395	495	526	106	241	305	1191	564	278	812	561	582
"g4145.t1"	985	1176	1266	1344	366	827	4162	3963	3180	3247	2854	4185
"g4784.t1"	42	41	57	117	24	41	86	89	104	178	101	104
"g423.t1"	15	88	24	0	2	15	0	4	33	3	0	21
"g15576.t1"	42	131	48	0	0	116	0	6	0	0	0	13
"g11562.t1"	20	10	44	56	50	0	60	50	73	97	205	81
"g14567.t1"	25	23	28	37	6	0	109	36	60	25	26	34
"g17465.t1"	28	6	0	4	0	0	1	4	8	0	1	0
"g4195.t2"	8	31	216	0	0	441	250	26	9	151	0	203
"g4805.t1"	13	52	14	21	12	44	71	25	19	33	123	25
"g4195.t1"	67	121	254	25	12	263	131	149	66	98	0	154
"g4147.t1"	20423	13098	18026	22766	18355	22741	20136	11899	14516	23936	15606	15459
"g19240.t1"	6	6	0	0	0	0	0	0	0	0	0	0
"g19240.t2"	31	49	10	0	0	43	12	0	0	0	0	0
"g14158.t1"	38	51	12	24	242	33	120	47	14	20	125	117
"g8945.t1"	0	5	0	0	0	2	0	0	0	0	0	4
"g11560.t1"	281	221	228	186	96	115	390	324	228	411	462	277
"g22600.t1"	14	21	10	11	2	10	97	49	7	82	31	47
"g704.t1"	11	13	21	0	0	4	25	5	6	0	0	0
"g17790.t1"	659	761	647	469	219	460	967	812	722	648	924	579
"g4455.t1"	40	152	113	26	24	51	462	137	184	113	152	90
"g23168.t1"	140	18	136	57	18	27	504	508	281	48	304	0
"g23829.t1"	69	114	128	80	20	57	296	141	197	221	171	176
"g6640.t1"	37	52	52	53	13	21	138	94	49	145	37	48
"g14832.t1"	20	41	13	16	10	0	58	49	55	141	114	35
"g3958.t1"	0	0	0	0	0	0	0	0	0	3	0	9
"g13343.t1"	0	184	36	97	41	261	21	4	30	0	0	4
"g13343.t2"	0	0	0	0	0	0	0	0	0	0	0	0
"g13343.t3"	372	219	422	483	289	121	1619	927	662	907	643	780
"g13504.t1"	325	398	240	171	198	237	547	313	367	413	200	393
"g9819.t1"	31	20	42	0	10	14	90	20	55	66	99	92
"g6119.t1"	0	27	335	3	0	241	0	9	53	0	70	20
"g16842.t1"	64	71	9	49	0	0	0	0	0	0	0	0
"g21577.t2"	3387	2261	3034	2301	3404	4001	1295	1576	1997	877	560	1834
"g21577.t1"	614	484	291	495	304	984	498	200	261	241	894	209
"g17771.t1"	502	350	404	218	378	425	410	269	242	225	255	248
"g6933.t1"	0	0	0	4	0	0	0	0	0	6	0	0
"g15563.t1"	137	183	167	179	37	49	420	336	349	295	298	174
"g16479.t1"	2282	11511	6233	12	44	5353	13	922	472	50	105	154
"g19584.t1"	128	112	102	280	245	73	209	177	139	146	135	104
"g5622.t1"	93	115	114	50	71	18	2503	977	403	1040	969	391
"g21575.t1"	20	12	28	22	0	8	42	17	24	16	33	0
"g13055.t1"	0	1	0	1	0	0	0	0	0	1	0	0
"g2131.t1"	209	109	137	195	74	95	541	445	301	365	674	208
"g9783.t1"	221	60	290	60	69	78	1218	546	454	1077	588	1124
"g17467.t1"	0	3	0	0	0	0	0	0	0	3	0	0
"g11889.t1"	13	0	0	0	0	0	0	0	0	0	0	0
"g21667.t1"	209	97	280	89	40	138	450	339	250	274	368	247
"g5620.t1"	84	72	106	102	91	58	263	195	126	318	377	201
"g23995.t1"	140	199	136	20	7	52	201	23	15	31	62	265
"g10617.t1"	1580	1130	991	0	39	382	61	210	19	35	0	192
"g7364.t1"	22	56	33	0	0	21	36	0	5	0	15	82
"g6391.t1"	50	463	29	8	0	29	51	38	7	14	0	233
"g21665.t1"	195	168	200	190	71	93	361	242	297	290	294	145
"g5065.t1"	156	189	174	136	58	54	237	99	183	174	73	225
"g19328.t1"	205	317	392	346	109	366	1020	657	584	787	489	575
"g23580.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g4772.t1"	508	562	344	406	410	352	960	678	728	783	466	796
"g11668.t1"	5538	5323	4592	4921	7967	4576	2753	1689	1070	1933	1042	3912
"g10457.t3"	301	258	131	0	0	88	91	153	116	186	177	0
"g10457.t2"	712	1053	674	581	340	229	1195	960	850	698	0	759
"g10457.t1"	467	267	317	541	537	220	954	547	724	139	711	61
"g14957.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g5325.t1"	0	0	0	0	0	0	0	738	0	0	0	0
"g1819.t1"	3	0	0	0	0	0	17	13	0	5	25	11
"g10304.t1"	685	108	120	17	89	95	128	41	28	16	0	16
"g16461.t1"	61	12	41	70	1000	93	139	99	126	628	766	72
"g16461.t2"	761	419	1211	742	7	1404	1234	1063	1436	136	0	703
"g6931.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g13489.t1"	33	22	15	37	7	5	324	162	148	239	262	103
"g3698.t1"	252	11	6	497	201	134	340	7	2	264	26	361
"g23654.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g21753.t2"	0	0	64	0	0	0	8	0	0	8	0	0
"g22636.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g21753.t1"	1282	1011	876	426	601	806	1429	803	743	1256	627	788
"g4711.t1"	42	95	18	0	0	9	19	15	0	0	0	0
"g216.t1"	3	4	2	0	1	4	0	3	0	0	2	0
"g7070.t1"	16	4	0	13	2	8	0	0	18	0	0	0
"g19362.t1"	3	2	0	0	0	0	2	3	3	0	5	9
"g23210.t2"	0	0	0	0	0	0	0	0	0	0	0	0
"g23210.t1"	0	0	0	4	0	0	28	0	0	0	0	10
"g12038.t1"	790	322	537	193	284	477	72	67	93	76	203	79
"g21751.t1"	757	480	396	176	468	391	1014	413	431	914	0	603
"g21751.t2"	155	254	210	163	37	200	171	239	192	75	681	54
"g22937.t4"	2	0	46	0	0	3	40	0	73	21	20	14
"g22937.t1"	17	0	0	10	0	0	0	0	0	0	5	0
"g8913.t1"	327	231	281	270	228	319	441	369	302	199	387	368
"g22937.t3"	141	287	0	16	47	168	336	229	0	364	140	363
