"PSC.0228"	"PSC.0187"	"PSC.0188"	"PSC.0174"	"PSC.0190"	"PSC.0231"	"PSC.0230"	"PSC.0219"	"PSC.0177"	"PSC.0186"	"PSC.0209"	"PSC.0203"
"g22938.t1"	0	0	0	0	0	0	0	0	4	0	0	0
"g21332.t1"	1259	582	605	177	536	2209	20	18	345	5	70	8
"g22032.t1"	88	116	100	144	64	139	482	323	275	524	102	334
"g557.t1"	2	0	0	0	1	4	1	0	0	1	0	2
"g13103.t1"	244	228	260	233	118	77	1395	923	727	1175	454	827
"g204.t4"	0	0	0	0	0	0	0	0	0	0	0	0
"g204.t5"	0	0	0	0	0	0	0	0	0	0	0	0
"g204.t6"	0	0	0	0	0	0	0	0	0	0	0	0
"g204.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g204.t2"	2	0	0	0	0	0	0	0	0	0	0	0
"g204.t3"	0	0	0	0	0	0	0	0	0	0	0	0
"g11676.t1"	405	196	381	24	44	272	35	23	51	52	85	26
"g5092.t1"	684	3595	2722	9	147	3131	6	110	77	12	20	45
"g20466.t1"	16	61	62	15	32	49	141	130	152	62	118	149
"g1020.t1"	262	246	394	260	78	567	1184	474	207	396	301	799
"g17708.t1"	5	0	0	0	5	0	0	0	0	11	0	0
"g7923.t1"	363	95	161	71	183	169	247	153	120	224	299	240
"g12657.t1"	3084	3640	2481	1274	1990	2346	2825	2688	1708	1599	3014	1166
"g1201.t1"	0	0	0	0	0	12	2	0	0	0	0	0
"g10491.t1"	103	75	160	20	7	7	243	24	34	75	15	135
"g11674.t1"	0	16	0	0	15	8	0	0	0	0	19	0
"g20695.t1"	273	160	259	314	158	163	466	383	207	362	335	255
"g17035.t1"	273	155	159	235	230	65	84	43	130	31	165	72
"g8149.t1"	398	458	437	582	104	228	827	428	581	430	629	355
"g1022.t1"	12	45	3	2	1	18	24	9	9	14	0	2
"g17531.t1"	0	0	0	0	5	0	0	0	0	0	0	0
"g17172.t1"	9	11	23	31	27	2	1086	1283	37	99	448	69
"g3254.t1"	4	6	0	4	0	0	0	2	5	0	6	0
"g3097.t1"	660	332	607	1635	623	721	1580	1644	1290	855	838	694
"g8706.t1"	3548	2748	4380	5499	2765	3841	7934	6104	6902	6560	7235	5057
"g15426.t1"	977	534	546	400	614	738	658	443	458	617	409	411
"g715.t1"	0	0	0	0	0	0	11	0	0	0	0	0
"g20697.t1"	10	17	20	11	0	19	28	65	12	8	0	50
"g8750.t4"	0	0	0	0	0	0	0	0	0	0	386	0
"g8750.t3"	220	135	166	331	53	35	661	648	592	481	445	478
"g8750.t2"	360	456	665	295	113	428	411	212	307	123	153	343
"g8750.t1"	197	327	301	338	103	289	1720	1089	698	1476	830	1142
"g1062.t1"	243	165	1067	8	344	1349	63	44	88	40	0	48
"g3769.t1"	26	26	4	0	0	0	4	18	0	0	0	2
