transcriptID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203
44	g22586.t1	57.0410476407534	4.21321515823987	0.798331597534302	5.27752524296001	1.30940171689596e-07	0.000196249100400007	355	228	53	3	11	21	18	10	9	0	0	0
45	g10994.t1	26.2961765349229	5.83736196511348	1.44547635336859	4.03836558896994	5.38249205964611e-05	0.0186713879622384	120	151	19	0	3	0	11	28	0	0	0	0
46	g9821.t1	6.15161466703463	5.6220427437593	1.46710004291294	3.8320786444779	0.000127065103993544	0.0321524218988339	8	6	0	0	0	0	37	28	16	0	0	0
47	g3840.t1	37.3808784012868	4.94250848948764	1.29357066578341	3.82082604392887	0.000133005444093163	0.0328035199077367	108	136	54	12	16	0	11	118	8	0	0	0
48	g23108.t1	2252.419761047	-1.82276361939131	0.44798327986696	-4.06882064869167	4.72517009841875e-05	0.0173707951316209	1267	489	901	1032	3267	2691	2214	1922	552	3887	4454	3101
49	g18086.t1	292.177173164375	0.885535252780739	0.193445735562024	4.57769332680281	4.70131235944519e-06	0.00305334566704767	256	274	264	114	69	81	619	559	689	361	348	300
50	g1067.t2	48.8228629358186	8.57096407598657	2.10292951571707	4.07572579676498	4.58710466851792e-05	0.0173707951316209	0	0	89	0	0	0	40	435	108	0	0	0
51	g535.t2	238.541193237685	3.98612652288039	1.0666047261522	3.73721063215275	0.000186073041719898	0.0420136593359051	673	1596	437	3	3	160	4	5	6	0	0	0
52	g1623.t1	360.218847360206	1.75898829707738	0.442941287977216	3.97115451826622	7.15251677192168e-05	0.0218540593425334	559	808	374	116	35	61	1462	403	381	338	187	388
53	g12314.t1	32.8713215507592	7.18339868420253	1.27935778235338	5.61484737364761	1.96735820753585e-08	3.48472793778442e-05	45	312	25	0	0	0	6	12	5	0	0	0
54	g16982.t1	22.7567459688395	5.46211566818504	1.29438598981581	4.21985073321313	2.44464124686139e-05	0.0103546500117059	24	167	13	0	0	8	14	21	39	0	0	0
55	g9649.t1	9686.97412335491	-2.19362315909424	0.560550659501381	-3.91333614886031	9.10296756827071e-05	0.024980594380308	6274	2959	4047	20529	20012	21564	1184	2105	911	759	7697	2186
56	g11353.t1	4480.20322030054	-1.58630850827343	0.349847703212059	-4.53428304290423	5.77994783525278e-06	0.00363279043942146	4316	1125	2223	4351	4589	6303	4251	2810	1326	6077	8385	6151
57	g5017.t1	11.5155527714754	3.97481323622192	1.0502999459312	3.78445533737302	0.000154045567020833	0.0361038156639371	7	26	44	8	0	4	28	17	18	0	0	0
58	g3934.t1	32.5676285950584	4.29555265076674	1.08993077854021	3.94112427627739	8.11005919211466e-05	0.0229009265650959	81	134	85	0	21	4	27	17	25	0	0	0
59	g15820.t1	131.905485260575	2.90687692231697	0.759564056545419	3.82703327950742	0.000129696985472957	0.0323976418583986	375	711	236	13	5	56	94	82	40	26	0	20
60	g23378.t1	200.522641318522	8.12396115176882	2.17499964601705	3.73515516043681	0.000187599484819531	0.0420136593359051	455	1769	3	10	0	0	0	251	0	0	0	0
61	g23472.t1	13.9414712447065	5.83978656319251	1.54599508393514	3.77736425159132	0.000158496843107701	0.0363312057777699	6	131	13	0	1	0	20	6	0	0	0	0
