library_ID,star_ID,star_size,star_collection_date,star_collection_location,star_radius_cm,star_diameter_cm,inoc_date,sample_date,experiment_number,exposure_history,treatment_group,experiment_day,disease_sign,number_arms_dropped,number_arm_twist,number_arms_crossed,star_death_date,notes
PSC-0203,31,large,5/27/22,Dallas Bank,,,6/21/22,7/3/22,C,na,control,12,healthy,0,0,0,,
PSC-0206,30,large,5/27/22,Dallas Bank,,,6/21/22,7/3/22,C,na,exposed,12,secondarmdrop,,,,,
PSC-0209,9,large,5/27/22,Dallas Bank,,,6/21/22,7/4/22,C,na,control,13,healthy,0,0,0,,
PSC-0217,6,large,5/27/22,Dallas Bank,,,6/21/22,7/4/22,C,na,exposed,13,secondarmdrop,,,,,9 arms dropped
PSC-0219,63,small,6/3/22,Langley Dock,,,6/21/22,7/5/22,C,na,control,14,healthy,0,0,0,,
PSC-0228,61,small,6/3/22,Langley Dock,,,6/21/22,7/5/22,C,na,exposed,14,armdrop,,,,,
PSC-0230,65,small,6/3/22,Langley Dock,,,6/21/22,7/6/22,C,na,control,15,healthy,0,0,0,,
PSC-0231,13,large,5/27/22,Dallas Bank,,,6/21/22,7/6/22,C,na,exposed,15,armdrop,5,,,,
PSC-0235,61,small,6/3/22,Langley Dock,,,6/21/22,7/6/22,C,na,exposed,15,secondarmdrop,,,,,3 arms dropped; just disc- dead
,,,,,,,,,,,,,,,,,,
